Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__CLDN7	10.3636	9.85	9.5351	9.1398	9.5023	4.9542	8.5019	9.5597	7.8989	5.1904	8.7904	8.7569	5.6529	8.8823	9.2868	9.5516	5.3683	4.8213	10.2479	4.9616	9.6298	8.4191	5.1725	9.2856	8.4469	8.9547	8.636	9.9421	5.3195	9.7626	5.5576	9.5302	9.8079	9.8201	9.0307	8.823	9.1229	9.5994
EA_G__EFEMP1	8.9932	7.9469	4.1539	5.1865	7.8477	9.5279	9.8558	10.6762	4.3132	6.7744	5.8441	8.2369	4.4974	8.8237	7.8833	9.5514	9.4495	10.4554	9.7036	7.9544	7.2431	4.2682	10.2084	7.8036	6.0749	8.1426	4.4023	9.074	4.0759	10.5316	9.6474	10.1493	7.0303	4.5549	9.4677	7.1217	7.8647	5.6764
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	6.3876	9.0239	5.5223	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7394	8.4219	7.63	8.1983	8.1004	6.8832	8.7843	5.4662	7.4627	7.4624	6.6419	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	9.5203	7.4441	6.8344	5.428	6.024	5.6388	5.8718
EA_G__DLG5	8.5367	8.2051	7.6128	7.6054	7.9137	7.4257	7.389	7.1702	8.661	7.0411	7.5975	8.4243	6.8348	7.2262	7.4377	7.5578	7.6163	7.1961	7.3677	6.5017	8.3969	7.8307	7.1467	8.2111	8.1074	8.0102	7.7634	8.54	7.7252	8.865	8.3913	8.8652	7.819	8.1331	8.281	7.9264	7.9025	10.8081
EA_G__GRAMD2	6.7449	9.1627	8.8006	8.0119	6.578	4.9204	4.9565	6.129	5.2142	5.124	7.5184	7.0826	5.0351	6.8372	8.0838	7.0011	5.7249	4.6843	6.2288	5.1823	5.56	5.023	4.8118	5.774	5.5525	5.2362	6.784	8.6722	5.4089	7.3875	4.8997	7.5718	6.4928	6.5344	5.6594	7.2598	5.4708	5.0695
EA_G__CDCP1	8.534	6.3089	8.9565	8.0251	7.65	4.5396	7.6241	9.0594	7.5934	5.7738	6.733	7.5561	6.2779	9.1124	8.9327	8.5008	9.5947	6.558	8.4237	4.6847	5.1655	8.1914	4.6864	7.5262	7.9998	6.7411	8.0166	6.3926	10.3823	8.3255	9.0246	5.3489	7.6336	7.2998	7.685	8.3503	7.7927	7.2571
EA_G__C1orf181	6.0922	6.8042	6.9163	6.2983	6.4502	7.5148	6.2355	7.2417	6.3709	8.0289	6.8713	6.4078	7.3561	8.3549	7.1615	6.9633	7.1618	9.3678	7.1704	8.0049	5.9378	7.2237	6.9216	6.434	6.4776	7.2327	5.7429	7.3017	8.0185	7.5216	7.3962	6.9983	7.1642	6.34	6.8331	6.3512	6.2779	6.1141
EA_G__GGT1	7.5575	8.3568	6.9163	7.1065	7.2693	5.3711	7.6542	5.7143	6.1119	5.8255	8.3686	6.7667	5.8302	5.5974	6.1793	7.0078	6.4158	5.6441	6.8205	6.8466	6.3007	7.403	6.0052	7.7936	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	6.8846	9.633	5.9641
EA_G__ITGA2	6.9104	6.4964	8.3037	5.442	7.7695	3.3115	6.1343	6.6983	6.1472	3.8311	3.3803	8.3774	5.3914	9.2308	9.3599	4.8736	8.8171	3.6941	8.1488	8.2478	7.4398	5.4654	3.6223	7.8104	6.8769	8.4765	5.9977	6.6612	4.2884	7.1048	7.1423	8.9924	7.7279	6.7438	7.0402	6.9343	6.9968	7.1523
EA_G__ATAD4	8.9675	6.5076	5.3802	8.0263	8.0542	4.5523	7.5399	8.0394	5.9508	4.8296	10.7967	7.4212	4.1336	4.7596	5.2565	8.0676	5.5651	4.2357	7.043	4.1056	7.5689	6.5886	3.7982	8.0822	9.0888	8.2291	7.5073	7.1289	4.5322	5.1374	4.3119	7.2446	7.4827	9.1193	7.2602	7.8865	8.9783	8.279
