Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	3.8361	6.2428	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	6.5769	7.4901
U133A__CAT	9.2728	8.6882	8.9651	8.6094	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	7.6033	7.5928
U133A__CDK14	8.6483	5.1017	5.5914	6.7216	4.9859	5.9636	6.0433	7.151	5.5382	5.5826	6.0146	6.2902	5.8351	5.5811	6.4406	6.7865	5.4488	6.9009	5.2891	5.3301	6.5698	5.5064	5.8304	6.4005	5.6448	6.3828	5.0626	5.0038	5.8604	7.3179	6.1089	6.4645	7.2559	8.4385	5.6363	5.5939	5.8693
U133A__ALDH3B2	6.5658	8.7068	6.0898	9.5624	5.2722	7.965	6.0893	7.5457	8.0414	6.9725	4.847	7.2269	5.3528	10.1542	6.3245	4.9788	4.7615	5.3712	6.066	6.2633	10.8627	5.4095	7.7902	4.5362	10.3719	7.7701	8.9937	7.1355	4.5919	5.4648	4.9338	7.1044	9.7612	8.5803	7.4248	9.0773	8.4681
U133A__FSCN1	3.369	3.2745	4.1782	4.2562	6.8288	3.5641	7.4718	7.3668	3.5026	4.799	8.6923	4.2376	6.351	3.3774	5.0647	4.406	8.2875	6.7558	3.4491	3.7885	3.2768	6.3371	3.2977	4.8134	3.4193	3.3392	3.2127	3.3518	4.4109	7.3365	8.0143	4.1927	4.202	3.2502	3.4463	3.2264	5.344
U133A__RHOB	10.4942	9.873	6.3164	11.0388	6.7962	11.0472	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	10.7721	10.9564	5.3243	5.6316	8.7454	9.5754	8.1457	9.765	9.1037	10.6561	10.3209
U133A__GSTP1	10.2691	5.9505	6.2737	6.0305	9.0029	6.4265	9.802	10.165	6.0055	9.9335	10.5334	5.7453	6.4435	9.7716	9.4364	8.9042	6.7726	8.5415	6.0689	6.0078	6.0434	8.826	6.3304	7.3513	5.9938	9.6938	6.2589	7.3166	9.2902	9.987	9.2485	10.4558	5.822	5.7574	6.2469	5.9376	5.7957
U133A__PAM	6.5936	4.9904	5.7176	7.0863	8.1748	5.0662	9.5932	7.0482	4.3977	8.7907	6.5625	5.8	6.8941	4.3226	7.3707	8.0552	9.9862	6.6152	4.9939	6.885	5.1649	7.0219	5.2092	7.6517	5.7571	4.5287	5.2073	4.5169	7.177	6.6648	6.9385	8.2732	8.5536	5.5328	7.2031	5.8766	6.8036
U133A__RAB31	6.2413	8.0673	8.3752	5.1431	8.3412	5.7159	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	5.7421	7.6507	9.5565	6.5396	8.4846	8.4498	8.1669	5.4419	9.649	4.7638	8.3981	8.3539	8.6618	5.3344	8.156	9.8536	8.2197	8.2362	5.2265	6.1315	5.4669	6.4993	5.4727	8.7646
U133A__C6orf211	4.7061	5.7621	5.6679	7.0185	4.6285	6.9624	4.5967	4.1924	8.487	5.0896	6.0769	4.6395	5.7836	6.7831	4.2786	4.0272	5.9741	4.6184	6.7797	7.9113	8.0697	4.908	6.42	5.865	8.5915	6.0873	5.0652	5.1504	4.4327	4.8395	5.1406	4.7754	6.2025	7.0532	6.7713	4.5541	9.4202
U133A__FKBP11	7.9289	6.4379	5.5652	6.3087	6.2289	6.1656	6.6499	7.5506	5.6176	7.9529	9.0723	7.8138	5.4419	5.5132	5.3126	7.9303	6.8288	8.0248	6.7806	7.6343	6.1916	6.2166	7.3477	5.901	7.3897	7.3281	6.3326	6.706	8.2381	7.5382	9.006	6.0829	6.3245	6.5844	6.1287	7.7315	6.2447
