Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__IGFBP6	5.6731	5.3829	5.4442	5.5177	5.8921	6.136	6.4634	6.072	5.3744	6.0119	8.7753	8.4806	5.5659	5.5465	5.6679	9.4268	6.2516	8.8554	6.6417	6.2663	5.9126	7.9486	6.1228	6.8116	5.5454	5.6252	5.7893	6.0209	5.8285	8.1014	8.1687	5.7392	5.5176	6.0702	5.4302	5.9415	5.281
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.2608	10.1651	8.3246	9.5845	8.7069
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	4.3947	6.203	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	6.2457	8.066	7.7975	7.5057	6.617
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	6.8408	8.5504	7.4246	7.1746	9.5645	7.9864	8.1341	7.9396	7.1158	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	6.6558	7.0907	7.519	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.6645	6.9156	10.0979	7.4944	8.5541	8.0903	7.0478	7.2983
U133A__FARP1	7.4771	6.1313	6.2527	8.1138	6.541	6.6631	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.2328	7.2984	7.3103	7.3406	5.9912	5.3448	5.8391	6.5233	6.071	8.236	5.4881	8.0231	7.4909	5.6239	5.9676	5.0966	5.858	4.6886	8.1285	5.8389	6.1601	7.5092	6.6622	6.7694
U133A__PKP1	5.6185	5.4542	5.1491	5.8326	5.2848	5.2597	7.7467	9.3023	5.4739	6.978	8.1395	7.7906	5.5253	5.9841	5.1287	5.9929	8.6629	5.834	6.2676	5.9481	5.434	5.5739	5.8193	5.0695	5.8165	8.6627	5.6349	5.8531	5.6921	7.6646	5.5444	7.8001	5.5104	5.5428	5.1191	5.8114	5.4465
U133A__ARL4C	5.0372	5.4113	7.4864	6.7865	8.6102	5.4432	8.2727	5.3763	5.1972	5.7854	6.2923	6.6579	6.6568	7.1242	6.4012	8.4927	7.7619	8.1936	5.7452	4.8309	5.8689	8.3712	5.9178	7.2348	6.0425	4.1099	4.347	5.107	9.1009	6.2938	4.6692	5.4439	5.766	4.7769	6.1884	6.1871	5.0522
U133A__PRKACB	5.7668	7.3425	6.974	7.9085	7.128	5.6635	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.4713	6.6439	7.7662	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.2026	6.4	7.3061	5.9619	6.8006	6.4627	7.2857	6.1098	7.754	6.9566	6.3993
U133A__H2BFS	7.6939	8.14	9.1665	9.0151	7.5511	10.0856	7.4697	7.0381	9.6266	8.3781	8.1802	10.1758	8.4017	11.3662	8.0953	10.2003	8.323	7.2868	9.2405	9.6227	8.6025	9.2039	8.9019	7.7851	10.0234	10.8112	9.3547	8.8394	9.4932	8.0654	6.9914	9.1738	8.557	9.8876	7.6589	8.7904	7.7033
U133A__CDC42	9.1902	7.7859	8.6319	7.387	8.2784	8.4174	7.3727	6.9527	10.4798	7.8221	8.6507	7.6629	8.2869	7.2827	7.6551	7.989	7.7281	8.7232	10.5883	8.6816	8.9952	8.8079	7.4084	8.292	7.8962	8.422	10.2628	7.9201	8.5298	8.7895	9.9012	9.5279	10.5517	7.5621	9.5678	7.3545	7.5374
U133A__HTRA1	6.7003	6.2736	6.3885	6.5619	6.4306	5.9744	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	6.4565	6.2344	11.4172	9.6218	7.5158	6.3811	8.5513	6.7275	7.4804	6.294	6.4095
U133A__GRB7	8.3996	10.2608	7.1275	10.6507	6.3286	7.053	8.3948	6.9301	7.1531	9.4888	6.7622	7.2019	11.2984	7.5151	8.0687	6.7119	7.5479	6.7995	6.1629	7.5126	6.6554	6.355	7.4331	6.1061	8.6563	6.8747	7.812	9.662	6.2945	6.9855	6.7471	7.4331	7.0393	7.1024	10.4791	7.1442	6.9964
U133A__ISG15	6.2029	6.9837	6.7058	5.5449	7.848	6.5951	8.99	11.005	7.8349	9.826	8.9883	10.2185	9.9476	6.4512	6.7595	8.9387	11.0436	7.8412	7.1602	10.1019	6.9091	10.7759	6.9745	9.7251	7.1162	7.5725	8.311	5.8968	8.9234	8.5587	7.5265	6.4722	6.2122	6.5785	6.7421	5.7411	6.0034
U133A__ZHX2	6.6374	9.2638	6.7542	7.8713	4.9952	6.5017	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	8.4563	6.9501	6.0953	8.0637	5.4724	6.7913	7.4885	6.2762	4.9739	7.7711	6.05	7.6426	6.7416	7.0132	6.648	6.059	6.029	4.8623	6.4096	6.0315	5.7254	6.6176	7.2085	7.0087
U133A__TWF1	5.5084	4.4222	5.9488	6.6463	5.5635	6.9623	5.9922	4.6291	6.6905	5.6328	6.1548	6.9483	8.4203	7.0744	6.4329	5.2535	6.2329	5.6756	6.0343	7.2103	5.6348	5.244	5.2969	5.6623	5.5977	5.005	5.403	5.5177	6.2422	6.9222	7.1039	5.8716	6.9819	6.8472	6.2073	7.887	6.4851
U133A__KANK1	5.1845	6.3431	4.3153	4.4629	6.3967	4.9071	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.7946	4.5636	5.0467	5.6924	4.7356	4.2955	5.7617	5.8712	5.7353	5.6835	7.4	5.007	6.1543	5.6976	6.0245	5.7133	6.2831
U133A__ZSCAN18	5.152	4.7958	6.4517	7.0714	6.8552	6.1901	7.7	8.3551	7.226	5.2372	6.2193	8.0343	5.3119	7.659	6.4413	9.1674	7.3018	5.1171	4.7969	5.7154	8.7884	6.0862	6.6889	4.8412	6.9565	5.2439	4.7623	5.4213	7.5037	5.87	4.1685	4.6237	5.3803	7.7059	6.9884	5.729	5.1795
U133A__PLBD1	5.7748	5.8209	8.2086	6.4016	9.6028	6.1258	6.4536	6.2081	8.458	6.9179	9.3657	9.8827	5.8011	7.8974	8.9343	7.8913	8.582	5.7965	6.4143	6.7902	5.583	7.3745	6.331	6.3713	6.3844	10.2417	5.9946	6.8279	6.8435	6.2724	5.4299	5.8549	7.0457	6.3584	8.2876	6.5022	5.8222
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	6.6145	6.7782	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	6.6182	7.7683	8.1148	7.4488	7.262
U133A__IFI27	4.6386	5.1543	4.4595	4.6777	4.687	4.5519	4.9288	11.1042	4.871	6.238	7.2516	11.349	11.3436	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	7.4637	4.8506	4.661	4.404	4.8339	4.6337	4.5304	4.6953	8.0022	6.5604	4.5079	4.5195	4.8154	4.3101	4.3879	4.4577
