Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__GLIPR1	3.2087	3.7756	3.3277	3.4702	3.5103	8.225	3.4968	6.1064	6.1439	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	3.5767	6.5325	8.5465	4.8932	8.9965	3.6517	3.3135	2.8019	7.2825	5.5198	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	3.6353	4.0555	3.3701	4.2331	3.4115	3.1647	3.5428
EA_G__MME	3.7488	4.2193	3.9441	5.8745	3.8299	5.8503	3.7392	4.4121	4.1589	5.4356	3.8361	3.8756	4.0762	4.4176	7.8495	3.9929	4.2718	10.0839	9.1142	5.8842	4.1751	5.6371	3.8823	10.2583	5.1333	4.1547	3.6984	3.8362	6.2662	4.2118	10.1735	8.6152	7.2612	4.1969	4.1179	4.223	3.8639	3.7725	3.6667	4.0496
EA_G__CDKN2A	7.3231	7.3827	6.0767	6.6305	6.9325	9.7428	7.7762	7.2902	8.585	5.7667	6.8184	7.5164	8.8826	5.9474	9.0146	7.0357	9.0947	5.6978	10.0086	5.9713	5.8649	5.742	7.8898	8.856	6.9963	5.7696	6.9057	7.6006	7.6794	8.0816	5.8326	6.005	5.5676	7.1071	7.7702	8.0533	7.8227	6.1777	7.3088	7.2229
EA_G__IFI27	7.372	5.8765	5.8672	5.9634	6.5869	5.8995	5.4532	5.5807	8.8289	6.063	5.688	5.9176	5.9609	7.0174	8.4091	5.719	5.6297	5.5432	10.2193	5.4534	6.2246	5.9099	5.7179	5.6424	6.2605	5.5659	5.7446	7.0341	6.5357	5.8964	6.6504	8.3749	6.7455	5.9171	10.8426	5.8441	6.2312	5.7468	5.9358	5.876
EA_G__KRT5	5.6583	5.8647	11.8335	5.8158	5.7928	6.1841	5.6275	12.3391	11.7328	9.6928	5.683	5.7326	5.9572	12.6685	12.0415	6.212	10.3753	5.594	12.0293	5.5336	6.1731	6.055	5.6596	5.7219	6.1329	5.8241	5.9914	6.7276	6.3146	7.1845	6.0938	11.8827	6.3071	6.1514	9.9957	6.1381	6.3179	6.1874	6.1794	5.8452
EA_G__CDA	5.2686	5.558	5.5753	5.5341	5.1235	5.405	5.1099	6.6075	5.538	5.1654	4.9187	4.9022	5.1158	7.1164	7.5887	5.3002	5.256	4.8953	7.3729	5.285	5.5972	5.0279	5.4287	5.0825	5.9062	6.1751	4.9709	6.7809	5.6922	5.6357	5.2511	9.238	7.0107	6.053	5.6418	5.6949	5.1177	5.4638	5.2699	4.9831
EA_G__LARGE	7.5776	7.6411	6.3724	8.2811	8.8172	6.4327	9.2071	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	8.7988	6.9842	8.3543	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.4373	8.51	9.0378
EA_G__PLOD2	6.1911	8.3419	8.1358	7.0175	6.9131	10.2933	6.8168	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	4.2248	9.0537	5.9173	8.1487	7.3068	7.3589	6.2115	7.2225	7.589	9.2253	8.3727	7.0657	7.6736	7.2993	8.5125	7.6262	6.8806	7.1493
EA_G__SLC1A3	5.9579	6.6111	6.2239	4.1502	3.9597	5.561	4.1358	7.4102	5.9275	7.3403	4.0183	4.0396	5.7351	5.5781	8.6946	4.5557	6.6053	4.058	6.8828	5.3296	4.5643	4.2625	4.0624	8.6562	4.4019	4.9309	3.99	3.5104	5.37	5.4099	6.7133	5.7299	8.3903	4.1191	5.2441	4.6502	4.7893	4.0327	4.5597	4.0849
EA_G__LSM1	7.3706	6.8857	7.3403	7.3934	7.8954	8.0103	8.5987	7.042	7.3834	6.9818	8.0061	8.3504	8.3754	7.199	6.7079	7.1681	7.4451	8.483	5.9746	7.5023	7.2557	7.0244	9.8522	8.3307	7.3895	7.4484	7.8255	6.8362	7.2466	6.8084	6.9624	6.765	7.6545	7.5583	6.4061	8.4546	6.7651	7.2777	8.3896	8.41
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	9.1556	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	8.0963	7.2691	8.1977	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	7.4075	9.6168	7.6949	9.7124	9.2173	9.9128	8.8387
EA_G__KITLG	7.1314	7.4053	4.8541	6.063	7.5518	5.6232	9.1403	6.3987	3.5706	7.2129	7.3691	8.3875	3.0446	7.41	6.8032	8.0787	4.6936	5.1107	5.5358	6.4225	5.7927	7.4415	6.1378	6.5814	6.0469	5.186	7.9143	6.8566	5.2791	7.6387	4.3973	4.8235	6.3978	5.5019	4.811	7.0466	5.9125	6.1408	8.1845	6.0224
EA_G__PLXDC2	5.7451	4.0545	5.7022	6.3983	4.4752	8.4076	4.1149	8.2121	9.3399	7.3789	8.9908	3.6281	6.4344	4.2185	7.0529	4.3702	8.5583	7.8445	9.3787	5.5589	4.6432	6.2911	4.9429	4.5856	6.2651	4.9408	7.8012	4.98	4.5464	4.8332	6.0867	7.9675	4.484	7.8416	6.2447	5.5712	4.8475	5.1624	7.5364	6.0498
EA_G__OPTN	7.221	5.4882	6.3773	5.3369	6.9311	8.3122	6.5453	7.5186	9.5381	6.0328	4.7322	6.9897	6.7986	6.2956	7.0622	6.6243	7.2997	8.3212	8.8409	7.0253	5.3053	5.7791	7.3007	8.1823	5.8963	6.7992	4.892	6.3711	5.1838	6.2416	7.8105	7.3452	6.5014	6.3757	5.827	5.7857	7.2587	5.688	4.9217	6.1182
