Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
U133A__PDZK1IP1	5.8239	4.8593	4.8828	4.8095	5.0487	5.1545	7.0575	8.8058	5.0094	7.2283	5.2256	5.3772	5.6485	5.4309	9.5137	5.3958	11.0033	5.2088	5.1539	4.9543	5.1708	4.7764	5.4087	5.1653	4.9605	6.5664	6.6374	5.0223	8.8105	5.4685	4.9062	5.1658	4.9814	6.0773	5.2721	4.9334	4.8939	4.7793
U133A__GALNT6	7.3905	6.7568	9.7521	5.1143	8.8841	5.7714	6.8554	6.1052	8.3463	5.6143	6.7577	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	5.9203	9.1731	6.4012	8.7939	5.665	5.8236	10.0613	7.0845	9.245	9.7446	7.8728	9.2057
U133A__TFPI2	4.6395	4.7191	4.3087	6.5383	4.1132	5.4184	3.9849	4.0743	4.199	4.0486	6.8855	4.3796	4.6333	5.0358	4.0053	6.1919	6.6266	4.2509	4.1836	6.2286	4.2252	8.7661	4.6738	7.4605	7.1817	4.1103	9.4243	4.1122	7.6195	4.4394	6.8177	7.5053	5.1922	3.9826	3.9556	4.5088	5.9324	5.2502
U133A__MSL1	11.0616	7.6567	8.9254	7.246	7.5161	6.9702	6.2351	7.9444	6.4312	7.5699	7.3185	7.4843	7.1746	7.6938	6.777	7.3462	7.9972	7.5341	7.7231	7.2066	8.0309	7.4204	7.6825	7.3756	7.8424	7.0973	7.4219	7.0433	7.2279	11.0407	7.3822	8.238	7.4681	7.0256	7.1078	11.0363	8.2656	8.1269
U133A__HIST2H2BE	6.1555	5.9939	9.4664	4.7581	6.4892	5.8138	7.028	5.845	9.4831	6.6393	5.1986	5.9223	8.8657	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	7.1567	5.8962	6.2671	5.0337	9.2133	6.6612	5.5972	6.7257	5.5572	5.8532	5.39	5.0466	7.1041	6.2	5.9142	5.2721	5.3079	6.1542
U133A__C14orf147	8.3373	8.171	8.4945	6.8873	8.2934	6.8596	6.7264	6.9095	8.3919	6.5508	5.5822	6.6456	6.933	8.6093	8.602	9.9961	7.2904	5.9391	7.7385	7.521	7.7687	6.7347	7.8353	7.4272	8.6416	8.0875	8.2812	8.3295	6.658	7.9421	6.3528	6.1853	7.4063	8.4938	8.3688	9.3596	8.4628	7.7993
U133A__LGALS8	6.93	7.7823	8.9898	4.0492	6.3609	5.2592	6.2438	4.4525	7.5037	4.2296	6.4287	5.7325	5.2971	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	7.2931	3.8368	7.8755	7.5299	7.1015	8.0029	6.5652	7.9816	5.402	6.8287	4.3027	4.594	4.0473	9.0562	8.0004	7.5306	8.9952	6.5759
U133A__NRAS	6.1408	6.0264	5.2946	7.6303	6.9143	5.426	5.5279	5.2327	6.1487	4.6216	7.2599	6.6215	4.9542	4.2955	7.6456	7.144	6.1282	7.0791	8.2575	8.4564	5.858	6.3052	4.9996	7.7325	5.1749	5.0033	6.8065	5.4207	6.9687	5.5992	7.5259	7.2775	4.3038	6.4268	5.9637	4.6213	4.1235	4.3905
U133A__PHLDA1	4.4531	4.5088	4.1534	6.2364	3.6929	5.3714	5.9748	4.3261	4.9452	5.4819	8.5993	8.0033	4.3273	5.8991	6.5052	8.8726	6.6058	9.3967	4.738	4.353	4.468	7.4466	6.5506	9.4625	4.3342	4.674	8.6611	3.9009	7.3799	3.6627	8.757	6.9589	3.8358	3.8758	3.679	4.2782	3.659	3.5303
U133A__KAZ	9.3271	6.8696	6.9423	5.0339	7.2092	6.6701	7.3067	7.019	6.1357	7.4731	7.073	6.6288	6.8015	7.2085	7.7884	6.4812	8.9155	6.7695	6.486	6.7372	6.1829	5.3989	6.2572	5.2274	6.6177	6.5172	6.868	6.8356	6.5498	8.3375	8.3053	5.4891	6.8818	6.3725	7.1619	6.7496	6.8171	7.1912
