Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__LAMB3	8.5501	5.4417	6.4218	5.2189	5.3861	9.3489	7.5722	4.7279	5.7245	6.2905	11.1412	9.6121	5.6071	10.4168	5.8812	9.7743	6.0018	5.4441	6.5937	6.6744	7.656	9.8024	7.3708	9.2933	6.0881	7.1102	6.762	9.9981	7.5762	7.572	6.3613	8.4298	6.1171	6.5865	5.3979
EA_G__MALT1	6.1856	6.6217	6.2121	8.5624	6.7858	8.3258	6.901	6.3425	6.2349	6.6303	6.5109	6.7436	5.518	6.689	9.3823	6.2279	5.7846	5.3337	5.8366	7.5889	5.4144	6.8856	6.1808	4.8845	5.9347	6.6455	7.5106	7.3724	7.5651	7.0666	5.7784	5.2207	6.0642	6.4532	7.0325
EA_G__SPRY2	9.271	5.3095	5.8224	8.0598	3.7591	8.6074	6.2604	3.7361	3.6432	3.7445	6.1357	8.4133	6.9956	7.2275	6.6531	7.7115	5.398	5.2853	5.3545	6.0105	5.8743	8.146	5.4852	4.7471	5.6965	4.8238	8.2139	8.6262	7.2073	6.6081	7.8466	4.344	5.5832	4.5508	3.955
EA_G__TMEM64	7.4041	6.028	9.2968	7.3777	6.0631	8.9803	6.7361	5.2219	10.6582	7.683	7.2797	6.1302	4.6514	7.647	8.3857	6.3327	8.6717	8.8982	5.4313	8.2295	7.2697	7.5732	6.6667	4.4371	6.8398	6.7572	7.2563	7.0071	6.945	6.2322	7.0455	5.7483	6.4495	6.4628	7.4725
EA_G__C9orf127	6.7089	6.4187	7.0435	6.2762	6.8552	5.9154	7.0562	6.4232	6.2548	6.7088	6.2656	6.3192	9.3532	6.3092	6.2466	7.7017	6.651	6.4793	7.7449	6.446	7.3693	5.8992	7.6257	7.3927	7.5077	6.2648	6.3197	6.1399	6.0337	7.0987	6.7204	6.8046	6.6364	6.5821	7.4356
EA_G__C1orf115	7.068	7.6415	6.4767	5.93	7.3311	6.0274	5.7279	6.9938	5.9561	7.2573	6.5801	6.1443	7.5419	6.6758	6.316	5.8911	6.5475	6.5878	6.3762	5.729	7.606	5.8222	7.7466	8.6046	7.8599	7.1421	5.9752	6.5733	6.2333	6.3785	7.8187	7.7581	6.8106	6.258	9.1222
EA_G__KIAA0644	6.6204	7.22	7.5292	5.0429	7.1733	4.6612	4.7288	6.0241	7.1183	5.0476	5.3085	5.1206	7.1336	5.2546	5.1951	6.8486	5.9194	5.6884	7.036	4.7568	6.3434	4.8293	6.4892	6.3319	6.5456	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	6.1171	6.8002	7.5086	6.8457
EA_G__C2orf54	8.3218	6.6129	6.4191	5.3623	6.4403	6.3795	5.2559	7.0081	6.0254	5.6238	5.8691	6.2319	7.7521	6.3336	5.1584	7.085	6.7537	6.16	5.7166	5.3858	8.0504	5.5605	7.7213	5.2486	7.7989	9.4912	5.4913	5.8188	5.4747	5.8124	8.1237	8.5672	5.5588	8.1165	8.5209
EA_G__KIAA1370	8.0117	7.3101	7.5285	5.8151	7.928	5.5305	5.1632	8.5057	8.3103	5.6178	4.1441	5.8594	7.7436	5.6434	6.0605	7.0426	8.0435	7.6508	7.4509	5.501	7.9116	5.8793	7.546	8.121	7.6939	6.9794	5.6558	5.3833	4.6569	8.0614	7.0923	9.0775	8.1025	7.7791	8.678
EA_G__RNF152	7.4839	7.0206	5.8025	2.8881	5.6834	4.6579	4.0383	6.5905	5.7642	4.0942	4.144	3.8961	6.3286	4.8239	3.7735	5.4662	6.2533	6.3096	6.874	5.7009	6.4137	4.3942	7.0318	7.0813	7.0719	6.9863	4.2134	3.9706	4.5148	7.6012	7.6321	6.7821	6.4101	5.7235	7.0441
EA_G__FRMD6	6.6327	5.8569	6.512	8.4921	7.1865	7.9292	7.5991	5.8319	5.2792	4.6289	7.4696	7.3778	5.7482	7.2501	8.1602	5.44	6.187	6.0322	6.3911	8.9032	6.3751	8.4847	5.2365	6.2746	5.5398	4.9049	7.829	6.5761	8.0209	6.1144	6.2193	5.4363	4.5013	5.7171	5.2584
EA_G__FSTL1	6.3208	7.111	6.4291	11.8037	4.1138	4.7382	9.2198	4.3438	6.6183	6.5907	7.6625	10.1327	8.2704	9.5531	9.8665	8.6378	4.3358	4.4994	4.4241	11.153	6.2928	8.265	4.5749	4.7229	4.7707	6.2699	8.5073	9.2021	9.4467	3.6254	6.7816	5.1479	7.162	4.0235	4.5517
EA_G__TM7SF2	7.362	10.6738	8.9356	7.777	7.8977	7.2251	6.8147	9.1668	7.9039	6.7241	7.7442	7.9366	8.5326	7.6531	7.0171	7.4679	9.5635	10.0085	8.6953	6.465	9.4025	6.9611	9.7289	8.2619	9.9341	8.013	7.0973	7.8511	5.806	9.5896	6.8613	8.2324	10.641	9.5627	9.7151
EA_G__ERMP1	9.1233	7.7073	9.4053	7.401	9.5278	6.7848	7.2208	9.9716	8.4253	7.4714	6.4361	8.3757	8.2505	8.196	8.1311	9.9705	8.8285	8.7303	9.5828	4.9347	9.7925	6.0482	8.8685	10.2583	8.723	9.3062	5.3658	8.9447	7.3782	9.6522	8.6249	10.0875	9.0246	8.9602	9.9493
EA_G__NUPR1	7.623	8.3409	5.8831	7.217	8.2699	6.308	7.7097	7.5236	6.4053	6.3374	5.9057	6.0186	7.4957	6.1895	7.3003	8.2083	7.4375	6.152	5.6338	5.9458	6.6051	5.727	7.9059	8.8506	8.5515	6.9661	8.2408	6.7378	5.8168	5.8454	9.4081	7.3405	8.6668	7.5702	8.0146
EA_G__PDCD4	8.7451	9.1525	9.6114	6.9065	9.7468	6.4642	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	8.9419	5.47	6.8651	7.9542	8.1806	7.8868	8.306	6.0254	8.0429	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	8.4289	7.9408	8.9593	9.1703	10.8018
EA_G__HMGCS2	4.5544	10.0884	4.2474	4.296	4.3704	4.3897	4.5194	7.4041	4.6301	4.2111	4.6196	4.2624	4.8674	4.6161	4.3498	4.6828	4.5064	4.7543	5.1079	4.1742	7.9965	4.5988	9.1804	10.6013	4.9517	5.0354	4.5088	4.4993	4.4967	8.0871	5.7396	6.6758	5.8813	7.594	7.4631
EA_G__P2RY6	5.8658	6.6875	7.0986	5.3199	6.1138	5.4422	5.6812	8.2888	7.7752	5.6175	6.0433	5.9451	8.6796	8.0907	5.2767	7.7315	7.7124	7.6371	7.2822	5.2904	7.1436	5.8952	8.1293	8.0841	8.0435	9.1671	5.4074	6.0452	5.7602	8.617	7.9559	7.8561	8.0817	6.8568	6.9486
