Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__PAAF1	6.3315	6.2222	5.9607	8.1304	6.716	6.9557	5.9053	5.7181	5.373	6.4287	6.1322	7.0673	5.9076	6.3043	6.4805	6.2198	6.9989	6.2865	6.4644	6.2567	6.5739	7.0299	9.1442	5.9782	6.1653	6.2655	5.6658	5.5522	6.3692	6.2362	6.1288	7.3717	6.9051	6.1696	7.2533	7.1738	7.7825	7.5118	6.7013
EA_G__KIAA1324	9.1151	8.7391	5.5267	9.9689	9.3165	4.7668	10.7206	4.988	4.7104	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	5.2066	8.9328	5.2349	4.8067	6.1461	4.7633	10.4682	9.8777	4.8393	8.4161	5.5117	10.5581	11.1607	8.8761	8.3421	5.2686	5.0444	5.1043	8.8778	10.1644	9.1857	8.7249	9.1258	9.4421
EA_G__C9orf19	4.855	6.829	5.2071	5.2876	5.7361	6.026	5.1261	6.4771	6.7151	6.7726	5.3678	4.8164	7.5139	5.4878	6.4374	5.5258	7.9401	7.2436	7.8618	7.5982	6.9045	5.816	6.7327	9.8291	5.6739	6.2212	6.3068	4.5292	5.5009	5.9774	6.2198	6.1858	5.8776	6.0657	5.6259	5.4415	6.019	5.3041	5.1365
EA_G__IRF1	7.6982	7.006	7.6716	6.2702	7.2857	7.9649	6.6868	7.0591	9.5285	7.102	6.2165	6.4752	7.849	6.7248	8.2268	8.5606	7.1732	7.0029	7.9304	8.6831	8.1805	6.4556	6.9864	7.736	6.9595	7.2986	6.5244	7.6743	5.5382	7.2615	6.8532	6.8387	6.9039	6.6999	7.2248	6.5218	6.4656	6.2076	5.5574
EA_G__PIGS	7.5697	8.5192	6.8888	7.5384	7.3005	7.0996	7.4286	6.3865	6.7787	6.7768	8.2206	7.0898	6.9207	6.921	7.0373	7.7928	6.9324	6.8199	7.1571	7.0957	6.2242	7.6895	7.3205	6.4457	7.3331	7.1863	7.4162	6.9111	7.4132	8.3361	6.8413	7.2873	7.503	8.072	7.9713	7.4937	8.455	9.3036	8.1412
EA_G__WNT5A	4.2203	5.7588	8.2415	4.3574	4.0287	4.6156	3.8004	4.9342	4.0127	7.1312	3.588	3.8275	4.9674	4.6742	6.1426	5.2261	8.387	5.6833	8.2455	5.7529	9.2519	4.4068	4.1971	6.9374	6.4325	5.785	4.2147	5.1055	4.6322	7.5613	6.4118	6.8442	7.2737	5.3906	5.0865	4.6946	4.6565	3.9395	5.703
EA_G__DNM1	5.9198	5.8274	5.8634	6.6095	6.0385	7.1828	5.7542	6.827	7.7025	5.8585	6.1194	6.334	7.8373	7.2976	6.1526	6.048	7.1713	5.8543	8.6239	7.911	6.815	8.0219	6.7251	8.2017	6.0095	6.554	6.9754	6.4942	6.5475	6.308	5.7997	6.9226	6.0011	5.8212	6.3635	6.9134	6.1994	6.0778	6.8304
EA_G__PTPRM	6.1723	5.206	6.3564	5.8235	4.0196	4.3371	5.1707	6.9291	4.1798	6.622	4.0832	3.8877	6.3608	4.1431	5.9112	5.6496	3.9882	6.5661	8.2248	6.089	7.8979	4.1385	4.2472	7.2107	6.9261	8.0141	5.921	4.5732	5.0201	4.3981	6.7359	8.1968	7.0189	5.2382	5.5253	5.3613	4.3122	5.5276	7.1118
EA_G__SNAI2	4.1699	3.7124	6.6607	3.6871	4.9983	9.1313	3.88	6.4837	3.2197	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	8.0586	3.6267	5.6992	9.113	6.23	9.6167	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037
EA_G__MAPK13	8.8569	5.7396	8.8783	8.9074	8.7232	5.4127	8.4843	7.2281	6.6557	5.5989	8.9054	7.3132	5.6793	9.2513	7.9948	7.8879	7.9473	5.5743	5.7215	9.0168	5.3583	7.9377	9.0236	5.4413	8.6852	8.6457	9.7135	9.2189	8.8961	6.4072	5.5621	8.1762	5.5973	9.1242	8.9669	8.3048	8.7898	7.7641	8.6697
EA_G__TSPAN15	10.7984	9.8778	9.8263	10.9843	10.8123	5.9455	9.6871	8.6585	7.7059	7.1726	10.0108	11.304	6.5389	8.5996	8.2911	9.3744	10.3737	8.5205	6.7083	9.9074	5.7659	9.8403	10.1996	8.4957	10.7309	8.9092	9.9043	11.0955	10.7178	10.8031	5.8294	6.72	5.9083	10.8783	9.4913	9.7656	9.5826	10.1287	9.2614
EA_G__CRISPLD2	4.9521	6.5086	6.0046	6.4789	6.4204	8.341	5.3443	5.3199	9.5989	6.4407	5.1924	5.9152	5.1351	5.9629	7.4849	5.9673	6.3755	6.8858	7.9022	6.0834	7.0641	6.0562	4.6744	6.4748	5.8013	5.4103	7.1873	4.8537	5.9612	6.0439	4.6397	5.7479	7.8721	6.6619	5.7479	5.5499	6.5141	6.0975	5.8106
