Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__TBC1D9	6.3771	7.496	5.581	6.0691	9.2575	4.8144	7.0148	5.4363	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	5.0615	7.5382	5.0659	6.6908	7.3101	6.1223	6.8606	8.7386	5.9894	6.3818	8.4877	7.2127	5.1711	6.5539	5.0828	4.6908	6.4141	8.6955	7.7167	6.6034	5.0197	6.7933	7.8456
U133A__CTNNAL1	6.8072	5.2576	9.176	6.5586	5.9492	9.2333	6.7237	8.9145	8.725	5.2291	7.0447	7.3007	9.0378	6.3929	8.7139	6.2145	6.4033	6.7594	7.8544	6.5949	8.1258	6.7643	6.5967	9.6872	10.2032	7.1815	7.3743	6.467	5.4645	8.052	8.7128	8.9356	7.388	4.743	6.401	7.5563	5.9706	7.1552
U133A__GLUL	10.5059	9.8161	6.2556	7.5359	11.0773	3.4309	8.1531	5.7282	9.8361	8.8808	10.5978	8.4556	10.201	9.1487	6.6296	10.0567	9.8783	3.3355	8.385	9.3406	5.584	6.555	8.4217	8.1008	6.7947	10.4427	9.8707	8.2571	10.11	8.1982	5.7105	9.0594	9.5098	10.1961	10.0047	9.2132	9.5704	8.8812
U133A__BMI1	5.2627	6.2853	6.8977	5.6401	9.3719	6.6391	6.0857	4.1594	5.3895	6.8203	7.5417	5.7456	5.0391	5.5369	5.7849	5.8791	6.4265	5.3789	5.998	6.2942	5.6207	6.3277	6.0755	5.5347	7.341	7.0147	5.6888	7.2058	5.6715	6.5148	6.4517	5.8622	7.106	6.8552	5.8714	5.5429	6.1095	6.7911
U133A__PRSS8	8.8288	8.984	7.5482	8.4017	8.4845	5.5972	7.5995	6.1579	7.1231	8.7157	7.8521	7.897	6.8913	7.7276	7.1033	9.1171	9.0244	7.8961	6.167	9.0988	5.8126	6.6594	7.696	5.2863	5.6892	8.4368	7.7911	7.8115	8.3283	5.4722	7.4115	4.5504	10.1071	9.5346	6.0866	7.2982	8.0536	7.1875
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	4.8405	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.6704	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	4.7406	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	7.0079	5.4811
U133A__DEPDC6	6.5775	5.651	5.4249	7.3238	6.9351	5.3355	6.1073	5.1492	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	6.5867	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.7692	5.2031	8.2562	7.3802	6.37	6.1324	5.3696	5.477	5.4188	5.853	8.0495	5.8502	6.5351	5.8068	5.7792
U133A__VIM	5.8226	4.9592	5.965	7.7481	5.6063	11.6511	5.8908	11.3859	11.3821	8.7797	5.3502	10.7222	4.9413	5.8206	9.4913	6.0127	5.6946	10.5693	11.5151	8.134	12.5403	5.7703	5.8608	12.7467	11.4408	5.516	5.4939	5.091	5.6462	12.9893	9.5774	12.4633	5.4996	5.2009	5.4907	5.7024	5.528	5.1392
U133A__TGFBR2	4.7952	5.333	7.0106	5.0315	4.0804	6.7765	4.5064	6.7981	6.3664	4.7365	4.2208	4.6006	6.7692	5.9237	8.2695	5.0056	4.2784	5.3755	7.5116	6.5588	7.6766	4.5196	5.7419	6.6819	7.685	4.9647	5.073	4.4376	5.0651	7.2266	7.6333	8.8984	4.4958	6.1121	4.7649	4.3031	4.2258	4.3092
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	6.3219	10.3468	6.3568	6.56	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.3065	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	9.4651	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	4.9885	5.9094
U133A__LEPREL1	5.2728	5.3422	8.3477	5.4569	5.0282	9.3138	5.5085	8.5248	7.9786	5.848	5.3502	6.5309	7.5076	8.3214	7.2828	5.5782	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	6.6369	7.9034	4.9339	4.9033	5.3148	5.5942	6.252	5.3512	7.3962	5.376	5.3514	5.1657	5.3306	5.1199	4.9922
U133A__HMGCS1	4.7548	6.6928	6.068	8.4489	5.7519	6.6066	5.2763	6.4192	6.7535	7.7171	7.8134	6.283	6.4676	6.3959	6.2914	5.3217	7.887	6.3859	6.4413	6.6387	6.5232	5.2901	6.2517	7.1959	6.68	6.8716	6.897	7.225	5.5922	4.89	5.3679	5.1532	6.8847	8.9645	5.7117	6.1708	5.231	6.3642
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	8.8448	4.5196	7.2791	7.7379	4.3245	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	4.966	5.6682	9.7977	8.5099	6.3427	7.0842	8.448	7.1828
