Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__CLU	7.2352	8.9068	8.992	8.9576	9.6033	6.8112	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	9.5115	8.6745	7.7043	7.3793	8.8706	8.885	7.8152	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.7504	8.0166
EA_G__LOC124220	8.934	8.0215	8.0349	5.4055	8.8675	5.9469	5.9124	7.9883	7.6471	5.8141	6.6156	6.0411	7.8574	5.7468	5.5707	7.5995	8.0322	7.9345	5.7493	7.1355	9.1801	8.6759	7.6816	7.9156	6.0924	6.2257	6.4568	6.7771	7.0487	8.2349	8.0054	8.3906	7.3629
EA_G__CTGF	7.8838	5.884	6.0218	9.3777	5.681	7.7782	7.1026	5.7885	5.882	8.7018	6.664	6.8898	7.1419	8.6485	7.6684	6.5018	6.0448	6.3716	7.6168	8.8141	5.7406	6.065	6.5061	6.6274	9.1454	7.3645	8.134	6.5749	6.6338	6.6145	6.0636	6.0606	5.9837
EA_G__LYN	6.7091	4.8348	5.1853	5.1028	5.0591	6.6688	6.2336	4.7252	4.705	8.3103	7.6061	8.3886	5.1541	7.3798	6.2885	9.3436	5.3756	5.2372	7.4913	7.6488	4.7925	6.2007	5.3564	5.3096	7.3032	7.3173	7.4683	5.287	6.1842	6.0271	6.1764	5.6508	5.0276
EA_G__C1orf115	7.068	7.6415	6.4767	5.93	7.3311	6.0274	5.7279	6.9938	5.9561	7.2573	6.5801	6.1443	7.5419	6.6758	6.316	5.8911	6.5475	6.5878	5.729	5.8222	7.7466	8.6046	7.8599	7.1421	5.9752	6.5733	6.2333	6.3785	7.8187	7.7581	6.8106	6.258	9.1222
EA_G__MPP1	4.6323	4.1933	4.53	7.3661	5.2864	5.9491	6.5432	4.0628	4.851	6.9422	6.5674	5.376	5.2199	6.7918	7.3067	4.5936	4.6365	4.6134	8.3037	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406
EA_G__RHOB	9.2793	9.8896	9.3985	7.6395	10.3938	7.6986	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	8.7278	7.261	6.7834	7.1452	9.565	9.2465	8.3788	7.5833	10.0124	8.9442	9.8377	10.0424	7.0709	7.9873	8.8352	8.6291	8.0375	9.0331	8.5103	9.1206	9.1928
EA_G__SNAI2	4.1699	3.6871	4.9983	9.1313	3.88	6.4837	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	3.6267	5.6992	9.113	6.23	3.8127	4.5304	10.2171	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037
EA_G__CTSB	9.501	7.6199	8.1219	9.3317	7.7767	9.3496	8.9493	8.4326	8.7649	8.2129	8.6363	8.7268	8.3457	9.1987	9.0396	8.0125	7.609	7.9978	8.5369	7.744	7.6151	8.7761	7.5629	7.8522	11.2144	7.9953	8.4264	8.5036	6.9814	7.2367	8.0939	8.6439	7.7091
EA_G__CALD1	4.9976	4.0059	4.5323	6.9477	4.1231	6.8428	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.3524	7.4511	7.9533	6.2922	4.4971	4.3691	9.1755	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.2721	4.3237
