Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__NMU	7.7687	4.1757	5.3381	4.3252	4.1752	4.6813	8.636	7.3185	5.2777	6.318	7.1706	9.1284	4.9977	4.242	7.6872	6.8751	4.3367	4.0377	4.0093	4.3863	4.6474	5.4827	5.9742	7.7496	6.7082	4.4051	6.521	3.9427	4.1099	7.0073	4.7095	7.0702	6.565	6.9468	5.598	7.6505	8.6929
U133A__RHOB	10.4942	9.873	6.3164	11.0388	6.7962	11.0472	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	10.7721	10.9564	5.3243	5.6316	8.7454	8.1457	9.765	9.1037	9.9938	10.6561	10.3209
U133A__CBR1	4.6632	8.0566	7.6891	5.0839	8.1128	6.1108	7.0953	6.9501	5.0824	7.8906	8.3527	6.8649	4.8263	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	4.8918	7.3525	5.6315	6.639	4.8369	6.4233	4.6356	7.4491	8.3041	7.4609	7.6399	6.1262	6.1997	7.0802	7.7375	4.251	4.3691
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	6.9184	4.8221	4.5797	4.5998	4.8576	4.5338
U133A__RGS3	7.3396	7.3194	7.4449	7.1317	7.9865	7.1868	7.3192	6.932	7.2255	7.079	6.1877	7.0754	6.7835	6.8538	6.6612	7.1936	6.9064	7.5345	6.4823	6.5597	7.2539	6.4331	7.161	6.9934	7.1745	7.2838	9.0562	7.3575	9.8179	6.9968	7.3523	7.6718	7.8599	7.1022	6.2931	6.3998	6.6534
U133A__PSMD3	8.2836	10.1567	7.0712	10.9679	7.0583	7.8847	6.5305	7.5896	7.2693	7.2269	8.5095	7.8073	7.9887	7.5412	7.8983	7.6875	7.627	7.5954	7.4128	7.8714	7.6951	7.6183	7.296	7.7875	7.2688	7.4941	8.1391	9.5126	7.7735	7.5639	8.0665	7.5932	7.4112	8.182	10.762	6.9633	8.6239
U133A__CRIM1	6.6823	5.0556	7.7575	4.5538	6.6582	3.5903	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	6.6118	6.6738	6.5511	6.4677	7.6681	4.209	4.0619	4.8435	6.3739	5.1213	8.3257	4.25	5.0642	4.1324	4.8529	6.1856	4.9762	7.7736	5.4297	7.3237	6.0612	4.7611	3.0831	4.056
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	8.7816	8.0217	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	8.3637	7.3568	9.2583	11.7898	6.9057	7.4767	6.5745	7.3136
U133A__CAT	9.2728	8.6882	8.9651	8.6094	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__EEF1A2	8.4199	11.0325	10.6134	8.8277	4.9698	10.4219	6.4697	4.4425	9.7461	5.8255	8.8877	8.1497	9.2164	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.6918	9.0784	9.8087	8.0866	10.3513	8.6957	10.0605	7.2008	5.2855	9.4882	6.2216	9.764	6.2512	9.1884	8.4557	10.671	11.6249
