Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__PON2	6.9905	8.545	6.3746	6.9593	7.6992	6.8894	7.5751	7.5382	7.1908	6.3066	7.1999	8.0402	6.9952	6.2384	7.0837	7.1096	7.9459	7.2793	7.6566	7.9654	7.5685	6.2501	8.0083	8.0485	6.7746	6.4667	7.1855	7.0361	6.9661	8.2261	7.6251	7.2494	8.6669	7.4132	9.4905	10.4159	6.8371	8.3466	7.3836
U133A__MEST	4.1765	9.1445	7.6999	8.9309	8.7516	6.6424	8.5033	8.9762	7.7862	7.8309	8.7083	4.5952	9.1663	7.8941	7.5623	9.1638	8.9105	4.5462	11.3108	3.7298	6.5437	8.9624	7.5797	9.3082	8.7994	7.1838	7.7	7.1751	9.0391	9.9474	5.8419	5.283	7.8764	7.8433	7.9864	3.8016	3.9968	7.7185	9.1736
U133A__UPF3B	5.4087	7.4007	8.996	6.0208	6.4356	8.5935	6.8089	6.8336	6.7156	8.967	5.7916	6.9372	7.1397	6.7902	7.4767	4.349	6.9753	7.8309	7.9876	7.8404	6.1483	7.4787	6.5789	7.2884	5.6376	7.2472	6.0651	7.2458	7.3178	6.6988	6.1282	5.6486	6.551	5.1739	6.9342	6.3386	5.4531	5.4613	6.7386
U133A__MCFD2	5.4711	6.2773	7.5503	5.0626	5.1834	6.386	6.4827	6.3448	5.7931	4.3098	5.5137	6.2944	8.0238	6.3483	7.2626	5.7939	5.5338	6.2847	6.213	5.9582	8.8193	6.1142	5.5427	7.6131	5.3628	7.2542	6.0619	5.909	6.2241	5.4566	7.0765	7.4358	7.5063	7.3567	5.6655	7.341	5.5784	5.351	6.6413
U133A__FOLR1	7.267	7.2539	5.7563	4.6122	6.6765	5.2837	5.2817	5.1053	6.6157	6.049	5.332	5.7393	5.2999	6.8881	5.2769	6.1082	8.4179	5.9979	5.2837	5.4512	5.5185	5.2332	5.3831	5.4749	6.8812	5.3677	5.9134	5.4527	5.4047	5.8875	5.3654	5.6305	5.0397	7.4495	7.0132	7.5242	7.7639	6.0473	5.2068
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	7.3323	3.8294	5.7543	4.9765	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.456	5.5033	5.2939	4.0003	5.209	4.8805	5.1228	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.8777	6.956	6.6563
U133A__FAH	6.3218	6.4607	6.6099	5.3049	6.5322	5.6806	6.876	6.9231	5.4625	4.7189	7.7151	6.091	6.0566	5.459	6.598	6.6952	5.7596	6.7725	6.6123	5.941	5.7228	5.8112	7.437	6.7586	6.7689	6.2218	6.0433	8.5933	6.8603	6.9006	7.0321	6.5066	6.389	5.333	7.7886	8.0842	6.8366	7.8526	6.2868
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	5.8685	9.7082	5.8463	9.004	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.7332	6.6073	6.763	9.0215	7.1768	9.9604	6.3204	5.3083	9.1023	6.1647	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	5.267	6.4218	6.5915	6.796	5.4646	5.981
U133A__TWF1	5.5084	4.4222	5.9488	6.6463	6.0045	5.5635	6.9623	5.8725	5.9922	4.6291	6.6905	5.6328	6.1548	6.9483	8.4203	4.8132	7.0744	6.4329	5.2535	6.2329	5.6756	7.2103	5.6348	5.244	5.2969	5.6623	5.5977	5.005	5.403	5.5177	6.2422	6.9222	7.1039	5.8716	6.0657	6.9819	6.8472	7.887	6.4851
U133A__SGK1	4.5039	4.9334	6.1785	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	6.0284	7.7563	5.5643	4.8025	7.6973	4.6129	7.0334	6.3626	4.4837	4.4109	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	6.1684	4.7328	4.6854	4.8292
