Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__BRD3	8.0335	7.0552	7.9053	8.8741	8.701	8.1861	7.469	8.1703	8.9881	7.7792	6.9922	6.8743	8.1244	6.8308	8.0223	8.4947	8.351	7.6168	6.5313	7.3688	7.6875	7.2378	7.3083	8.1786	6.8757	7.9636	6.8199	7.1282	7.3145	6.6386	10.3884	7.1802	7.558	7.3309	7.0895	7.6949	7.5907
U133A__NRIP1	5.5528	7.2417	7.4096	7.0521	7.9732	4.3597	5.9207	6.3574	6.5283	8.4802	5.5339	7.3417	7.1886	7.2016	7.5251	6.4286	8.3895	7.2883	5.6035	6.477	8.2701	7.0626	5.2151	8.0484	6.1913	8.4174	5.9009	3.7583	6.4733	5.6841	7.5076	7.1235	6.9367	7.2135	7.6569	6.1168	6.4789
U133A__MED1	6.789	9.401	6.6315	9.8321	6.7544	6.543	6.5188	6.1616	6.714	5.4657	6.4849	6.584	6.2933	5.5168	6.165	6.7157	6.7015	6.6643	5.9833	5.9938	6.0596	6.341	7.4592	7.1028	5.6961	6.8213	9.7185	6.1455	5.8447	6.5327	5.9984	6.2341	6.2636	7.0154	8.3873	6.1249	6.4994
U133A__DIP2C	6.0306	5.6	4.8042	6.1426	7.3021	5.8184	7.2703	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	5.8443	5.318	7.5229	3.946	5.2792	6.2597	6.5002	7.9021	5.9908	7.1526	6.9179	6.2128	5.3484	6.081	4.2421	5.8763	8.1831	5.9789	5.1349	5.6502	6.3524	6.2191	6.4159
U133A__TMEM97	7.9988	7.4968	7.8134	8.0862	8.2533	8.169	8.1593	6.9567	8.4639	6.6066	8.3934	7.6408	6.7473	7.9736	7.4076	7.1745	7.9142	7.8347	7.7135	8.5816	8.5359	7.8827	8.8979	7.8895	7.5503	8.4304	7.6014	6.1747	7.2433	7.5153	7.243	10.8166	6.1129	8.4702	9.4899	6.622	8.3972
U133A__DEGS1	6.8249	6.0243	7.0363	6.6615	6.8731	6.713	6.61	5.8782	5.2917	6.7579	7.0455	6.6837	6.4182	7.6759	6.2588	6.8383	7.5211	6.5886	6.7486	8.3607	6.5126	8.0834	7.2396	5.7017	7.1705	7.9357	7.0837	6.7336	8.0758	7.3776	5.5452	5.4043	6.8749	6.2224	6.518	8.4512	6.7358
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	8.0845	7.8676	6.4196	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	9.4103	5.8645	7.4016	7.6103	5.0045	8.8911	7.6113	7.3043	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	5.7054	8.0534	6.569	5.8275
U133A__MDK	6.9831	5.8166	5.8069	10.4845	7.2442	9.5628	5.4762	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.3533	6.272	9.0373	7.1533	6.1214	5.8713	5.747	6.4917	5.8461	10.8153	8.6003	6.3981	7.7515	7.1022	5.765	5.7944
U133A__NOTCH3	7.3711	7.129	6.3517	7.5035	7.1099	7.1373	7.0845	10.7188	9.2424	5.5662	5.4685	6.8588	8.3503	5.6305	7.5159	7.5623	8.4363	11.0395	5.6526	7.3838	7.4329	7.6575	4.4309	6.816	5.169	7.348	7.4298	6.0529	6.7354	5.2383	8.0239	6.4752	5.7466	7.0535	8.0479	6.4463	6.9082
U133A__TPM2	2.9737	3.2967	2.7599	2.7023	3.0083	9.2246	3.0307	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	4.4389	3.4678	2.8649	3.6268	3.157	3.4752	8.5825	7.37	8.2812	2.8239	3.0699	5.6483	3.0476	3.3862	3.4566	2.9659
U133A__STEAP1	3.7161	3.9583	3.7114	4.1853	4.1123	3.7128	3.5633	4.1825	3.8446	3.9806	4.3958	7.2176	3.6303	4.5839	7.2723	4.4257	6.4105	6.2642	5.633	4.0483	3.9447	4.2744	7.3482	3.7494	4.4603	3.6677	3.6879	8.1299	7.6142	8.5636	5.8578	6.6618	7.2567	4.7198	4.0482	3.8274	4.0184
U133A__FTL	9.9572	7.7744	11.2056	10.0591	9.0597	10.2013	8.6878	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	10.2633	11.4905	9.5794	9.595	8.687	7.3449	12.0038	10.5268	11.4457	11.6906	9.9193	10.7519	8.3996	9.5434	9.0406	8.4759
U133A__TUBA4A	8.127	8.0959	10.2276	6.0048	6.8604	7.1961	7.2988	8.0741	6.1229	7.2844	6.1504	9.7248	8.2095	9.6436	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	6.2093	7.6192	6.6858	8.986	7.9045	7.5394	6.7402	10.2412	10.2433	8.5017	8.8552	8.7116	6.8016	6.4082	7.5034	9.1448
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	8.6966	7.1928	8.1492	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	7.2455	6.6163	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	7.8561	6.9118	6.5551	8.9722	7.696	8.1269	7.1149
U133A__GLRX	6.8448	7.9543	6.2487	5.5297	5.4206	5.9715	5.401	5.7698	5.7644	5.382	6.2804	7.6191	5.9803	6.3704	6.4851	7.4296	6.5379	6.0868	8.8566	4.4996	5.6094	7.2202	7.9821	5.8988	9.5291	5.7724	6.5263	6.9671	6.2362	7.2404	9.8389	7.6701	6.5914	6.1673	5.9565	6.1801	5.2603
