Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__HIST1H2BD	7.1145	7.0557	6.7147	8.3315	8.972	6.5474	8.7616	6.8223	6.2897	8.8163	7.4548	6.7661	8.5844	6.7043	8.5002	6.9767	9.7647	6.8531	6.3362	8.789	7.8715	8.7047	6.9099	6.5194	9.1778	9.4058	9.1269	7.538	8.103	6.6518	5.7787	6.7578	7.389	6.2454	8.4972	7.73	7.5308	6.3211
U133A__SERPINH1	7.3383	7.1112	7.8774	8.1094	7.609	10.5733	9.4768	8.1624	9.1995	7.2126	9.7949	9.0328	9.016	7.5828	8.1352	9.7503	8.4767	8.1285	9.4153	8.2441	7.2596	6.5507	9.796	8.2198	7.7041	7.8123	8.1456	7.2836	9.8089	9.2239	8.8404	6.2635	8.1488	9.6402	8.6763	7.692	7.3527	6.6774
U133A__UCP2	9.6294	10.6891	8.7103	11.051	10.1722	9.2555	7.9243	8.9817	5.642	10.1599	7.6198	8.3911	5.8092	6.2556	8.7794	8.1962	9.2716	8.7817	5.512	9.2632	11.818	7.505	10.7462	9.3588	10.4657	9.2304	9.6833	10.2665	6.2975	5.8019	5.5516	9.1125	9.8997	7.4515	9.3054	8.5052	7.9376	8.6715
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	6.965	5.4051	4.311	6.2015	3.7661	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	8.5979	6.5769	7.4901
U133A__SELENBP1	8.8083	9.7924	6.2626	7.6433	9.2375	4.404	8.985	8.8748	7.4447	7.9249	6.8402	4.8861	6.996	5.9103	8.3716	5.1255	6.3603	8.2953	5.4059	7.5547	7.3078	5.0839	7.755	5.9437	7.8378	7.8349	9.293	9.5222	5.4631	4.9068	5.4815	8.5464	8.5024	8.8177	7.1748	8.0832	9.6663	8.0155
U133A__SEMA3C	5.5063	7.8535	6.2973	7.2138	8.9072	7.9184	8.3292	8.5165	6.515	6.9541	4.8101	6.5634	5.7918	5.1109	6.6837	6.0845	8.9521	5.6476	7.3771	8.6625	6.3229	7.9666	8.2876	5.6302	7.8415	8.0204	6.4005	5.7378	6.6405	3.8054	6.3761	8.6192	8.9705	5.6067	8.6439	7.6228	5.8646	8.8128
U133A__FNBP1L	5.7282	6.3494	5.7353	6.3034	7.1137	5.7258	7.0659	4.9683	6.9366	5.9928	5.0314	4.7531	5.4856	5.0975	6.6526	6.1696	6.4593	6.5269	4.7117	4.3192	7.5094	4.6485	3.3218	5.9207	6.0796	6.3206	7.3428	5.9159	4.2674	4.7058	3.693	6.4658	6.9367	6.033	5.5292	7.0101	5.9501	6.1131
U133A__CLDN3	7.7269	8.5775	5.1292	7.7776	9.2494	4.7725	8.7299	8.1731	6.2573	8.0305	4.4347	5.0398	6.8845	4.4998	3.9735	3.9722	6.2876	7.4706	4.6249	10.1075	7.6582	4.2289	5.683	4.4656	7.8263	8.3076	7.829	7.6463	5.0252	5.2019	3.7519	9.1572	10.4226	6.5411	9.7858	10.169	5.8151	7.4535
U133A__H3F3B	7.1153	7.6458	5.9057	6.8108	8.2883	6.0123	6.4618	8.8573	7.1954	8.4394	6.9287	5.9507	7.0464	6.4184	6.8265	7.0783	7.8289	7.0707	7.3306	8.284	7.5931	8.7099	6.9037	6.7496	10.2592	7.0589	7.7466	7.8328	7.7113	6.1992	6.8249	7.6668	7.797	6.8449	7.6191	7.3514	9.1649	7.8457
U133A__CLNS1A	9.4608	8.6558	8.2594	6.9005	8.581	8.8302	6.9955	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	8.0984	9.0511	8.2463	8.0085	8.011	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.5151	8.1378	8.3304	9.2318	9.4287	8.085	8.3387	10.4912	8.8496	8.6699	7.8664	8.2449
U133A__PBX1	10.6681	9.5764	5.7993	9.4725	9.8965	7.1982	8.9231	8.3278	6.6554	8.7516	7.3662	6.3245	8.2703	4.0816	9.1327	6.7302	7.2431	8.0011	5.482	8.0443	8.9407	5.4143	8.5418	4.6607	8.253	8.9907	9.1773	9.2953	7.468	4.6159	4.8149	9.5481	8.6203	7.913	8.3759	9.2425	9.5066	9.2392
U133A__SLC27A3	7.2835	6.8031	4.7907	7.2837	6.4322	4.9482	8.9034	7.3823	7.2365	4.9793	6.363	5.5198	5.3032	6.0769	6.66	6.0547	6.0294	6.3945	5.64	7.0305	6.369	6.1087	6.5284	5.2056	6.0497	6.5406	7.6815	6.8684	5.6795	6.2293	5.1971	5.7902	5.6833	5.4264	5.9204	5.941	5.332	7.1086
U133A__HIST1H2BK	7.8626	9.2518	9.6636	9.211	10.265	7.7061	10.2513	7.6802	8.4455	9.6962	8.8744	9.1657	10.3357	8.5626	11.4476	8.3287	10.8107	9.2549	7.4624	10.0636	8.8671	9.2992	9.3189	8.3553	10.3908	10.9972	9.5832	8.6993	9.5496	8.6964	7.2105	9.793	10.1358	9.1875	10.0889	8.8459	9.1856	8.8304
U133A__FHL2	6.8345	7.5313	10.607	6.7725	5.7075	6.7465	4.7439	8.3456	5.4334	4.6551	7.6402	7.5109	8.0003	9.859	5.3809	7.916	7.8709	7.455	9.4441	6.7517	6.052	8.0689	7.7059	7.9957	5.0216	7.9393	4.7353	6.6008	10.66	8.0581	7.9105	7.7389	9.5596	9.8828	8.7644	10.1995	6.2594	5.9175
