Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__GPRC5A	7.4835	8.1924	10.8478	6.6047	8.4387	6.411	7.0096	7.2709	8.9953	5.7325	6.94	5.5498	8.3772	7.6094	9.252	7.803	9.0365	8.5419	8.7773	9.0299	7.3729	7.7901	8.8337	7.6604	5.9316	9.2595	8.1985	7.3947	8.0719	6.3931	6.2926	5.6671	10.3479	6.9332	9.4321	8.0798	7.8656	6.8201	8.9387	6.3194	6.9714
U133A__TPM4	7.5354	5.8557	6.4431	7.0182	5.6134	8.444	7.8344	8.6083	7.5265	6.9576	5.253	7.0015	7.1745	8.3884	7.7741	6.8116	7.5146	8.8621	8.0885	6.9763	8.6658	7.2559	8.5262	6.3231	8.5185	7.7302	7.3272	6.6417	6.7652	6.6924	7.4954	9.1089	8.7288	7.4332	3.4831	6.4929	4.6367	4.0479	6.0027	6.1841	6.0462
U133A__VOPP1	7.6593	8.9	10.3657	8.5874	8.6245	9.115	6.7288	7.963	7.8547	8.4462	8.1704	8.7079	8.1822	8.5	9.3412	7.7637	8.1654	8.6527	8.625	9.6986	9.4578	8.491	7.8327	5.7953	8.7511	8.4591	9.3697	8.6993	8.6485	6.2355	8.0525	8.391	9.1371	8.7429	8.9762	8.858	7.9485	8.3646	9.5798	7.1938	8.6987
U133A__MAGEA6	4.1337	10.693	11.5841	4.2307	9.8056	4.0703	3.9456	4.1086	4.2992	4.86	11.4676	3.9504	10.0407	4.0099	9.9063	8.6699	3.986	9.5413	4.4473	6.445	9.4312	4.0506	4.1283	4.1417	8.6643	4.1481	10.9078	3.9064	4.9708	4.038	10.2216	9.7426	3.9341	10.1877	8.205	10.544	4.2629	4.3884	3.8095	7.8366	9.4051
U133A__CTSC	6.462	7.8213	7.5029	5.6429	6.511	8.7733	6.0613	6.6398	7.1267	6.1393	6.1285	7.7895	8.61	7.1706	9.9228	7.5757	7.5029	7.5712	9.5726	9.4375	8.1937	5.3937	6.3418	5.3429	7.5387	6.0198	8.1208	6.9996	7.2767	6.7308	7.4898	5.6283	9.7333	8.6939	5.451	7.092	5.3268	6.5055	5.8231	6.0762	6.4382
U133A__GATA2	5.8131	6.4959	7.1069	7.0628	5.9166	5.8371	6.0767	6.2741	5.5235	5.1149	6.8274	6.0557	6.199	6.531	5.905	7.2357	7.617	5.5053	6.3955	5.9139	7.2402	6.6668	6.4408	8.5363	5.4748	6.7948	6.4999	6.0874	5.9896	7.0691	7.9656	6.0365	5.4024	6.4666	9.1988	6.1651	6.9075	6.2461	6.4558	5.9673	6.3448
U133A__CASC3	8.0662	9.5254	7.1666	7.896	7.8331	7.3214	7.8822	7.6086	7.4055	8.0717	6.9048	7.4362	7.247	7.6934	7.357	6.7513	7.24	7.5153	7.5471	7.7717	7.1902	7.2305	7.0158	7.7874	6.8132	7.0879	7.6189	6.8153	7.1054	6.3196	9.5638	7.2235	6.6186	7.6981	6.8808	7.2259	7.7518	8.0652	10.4373	7.5613	7.8892
U133A__PIP4K2B	7.8862	6.6107	7.0165	9.8599	7.7197	7.1591	7.569	7.0386	7.1207	7.5916	6.9668	7.0594	6.8351	6.7596	6.8871	8.6439	7.1826	7.0901	7.5117	6.7227	6.8105	7.3119	7.0962	7.674	7.3301	7.2063	6.9886	7.9518	7.133	7.2262	6.8396	7.4959	6.8553	7.2147	6.9198	6.8061	7.0625	7.5086	10.0377	7.1649	7.4004
U133A__TNFRSF21	6.9434	7.383	9.0393	6.2411	5.8168	7.6132	6.2938	6.7414	9.4794	6.2643	6.3644	8.9963	8.8483	7.9123	8.4644	7.3763	8.9154	9.1783	7.7884	7.9115	10.028	7.0946	6.9593	7.6411	8.7664	8.4893	9.2021	7.3706	7.6864	5.8836	6.6581	6.831	9.0621	5.5389	7.9016	9.2553	6.9565	7.1457	7.9318	5.8725	6.4674
U133A__CBX1	8.4414	6.701	8.4954	8.128	8.569	8.3009	8.5655	9.3982	8.5777	8.5155	8.4208	8.4249	7.6401	8.1699	8.0173	7.215	8.5637	8.7994	9.1475	7.7093	7.9956	9.3734	9.1815	8.776	8.3982	8.2793	8.7068	9.3827	7.8836	9.1379	6.7832	8.6748	7.5322	8.0114	7.2854	8.7875	8.6622	8.8604	8.3903	8.4396	8.951
