Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__FAH	6.3218	6.4607	6.6099	5.3049	6.5322	5.6806	6.876	5.4625	4.7189	7.7151	6.091	6.0566	5.459	6.598	6.6952	5.7596	6.7725	6.6123	5.941	5.7228	5.4481	5.8112	7.437	6.7586	6.7689	6.2218	6.0433	8.5933	6.8603	6.9006	7.0321	6.5066	6.389	5.333	7.7886	8.0842	6.8366	6.6268	7.8526	6.2868
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	7.5568	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	8.2529	7.7422	7.4409	7.2922	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	6.9058	5.7004	7.3765	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	7.0881	5.0527	6.8992	7.3789	8.2248	8.4567	7.6569	6.3975	7.906
U133A__PKP1	5.6185	5.4542	5.1491	5.8326	6.1498	5.2848	5.2597	7.7467	9.3023	5.4739	6.978	8.1395	7.7906	5.5253	5.2833	5.9841	5.1287	5.9929	8.6629	5.834	6.2676	5.9481	5.434	5.5739	5.8193	5.0695	5.8165	8.6627	5.6349	5.8531	5.6921	7.6646	5.5444	7.8001	5.6862	5.5104	5.5428	5.1191	5.8114	5.4465
U133A__PSPH	3.0836	2.8068	6.7289	8.8397	6.7999	6.9781	3.9571	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.7695	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	6.9336	3.8532	6.5213	3.6251	3.3861	7.1978	6.3427	3.5548	6.222	7.1996	3.3091	3.816	3.4727	2.8167	3.3359
U133A__ADD3	6.6598	6.5922	5.3978	6.785	7.3626	4.6305	5.8974	7.5616	6.7554	6.0067	5.9834	8.9014	7.7653	5.2378	4.6477	6.6912	4.2227	7.5595	8.6087	8.3932	5.0474	4.6928	6.3464	7.5729	4.5674	5.9771	9.2733	8.7003	4.1664	5.7824	6.9891	7.4625	3.7616	4.5454	8.7778	8.6528	6.232	7.0666	6.5704	6.4893
U133A__SLC22A18	7.9216	9.8466	8.2002	6.9283	7.348	6.2391	7.5694	7.2846	6.1165	7.0052	7.1159	6.0673	7.2986	7.5464	8.2241	7.0656	6.8706	7.6326	7.6014	6.6027	7.2144	7.285	8.8137	8.6316	8.4775	6.4509	7.087	8.9262	8.4863	8.4106	6.5985	7.3737	6.3947	6.8661	8.755	6.9685	7.2273	7.5805	7.9351	8.1929
U133A__THBS1	5.5343	5.001	7.0833	2.6537	6.3221	9.244	5.7668	8.4849	4.4151	3.3894	3.7441	6.7656	3.75	7.6908	4.662	2.6702	7.1499	5.1664	3.2742	8.3906	4.5841	5.9715	6.4773	5.6089	6.0028	6.6098	3.9623	5.9902	7.2005	4.0472	2.661	9.1396	8.1503	4.1347	6.3622	6.1984	6.842	4.6027	2.8948	2.6965
U133A__DHRS2	3.6915	11.0353	10.3221	9.9415	6.4724	5.6319	3.4445	3.8597	3.4835	8.886	3.8089	4.3762	6.9515	3.9461	8.055	5.3919	4.6408	6.2546	3.3749	9.8464	9.1799	6.4362	3.6246	3.8142	9.5706	4.3924	10.9648	4.9896	3.8658	11.0403	3.5322	5.7199	3.7635	4.1461	7.0288	3.9059	4.3709	4.7984	6.5961	4.5859
U133A__TESK1	6.1277	6.4533	6.6844	6.2831	7.0087	6.1632	6.7421	6.6612	6.773	6.5293	6.5209	6.533	5.8371	6.3716	7.4384	10.6915	6.4996	6.3326	7.0714	6.205	6.4097	6.3519	6.8934	6.7607	6.6341	5.7422	7.5346	6.8662	7.7649	6.2511	6.2481	5.9159	6.4373	7.9816	6.5213	6.8686	6.5403	6.1772	7.1722	6.9118
U133A__TNFAIP2	6.5795	8.2231	7.6824	6.3738	6.1237	5.8589	6.542	7.4465	8.7141	6.2884	5.9616	8.3867	8.5324	7.833	6.9407	6.4399	7.8688	8.5522	9.3888	6.3682	6.3993	6.5616	6.4062	8.2471	6.4737	6.5829	5.7377	6.762	6.0875	7.0839	6.245	8.1	6.9614	6.0373	6.0305	6.7441	6.7504	6.8502	5.7957	6.5668
U133A__AHNAK2	4.3732	3.6455	4.6633	3.7668	4.2833	7.8526	4.6283	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	3.693	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	4.6591	8.267	4.9602	5.1847	4.0095	4.1542	3.6524	3.8567	9.5019	5.603	7.6929	8.3787	4.9678	4.0909	4.2427	4.4986	3.8844	4.6233
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	5.37	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	5.9761	6.4008	5.8931	5.0595	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	4.7386	6.84	4.7622	6.307	4.2376	5.1419	4.3653	5.7774	5.6285	7.0969	5.726	8.0212	6.0891	6.9652	3.9585	4.1403	5.2741	5.3617
U133A__CRYAB	5.9769	6.6645	5.5916	5.2189	5.2365	5.1263	5.5506	8.962	10.349	5.5635	10.0838	5.3294	7.6599	5.5014	5.645	5.2775	8.9366	7.7718	8.6936	5.6617	5.4935	5.4123	5.2084	5.1464	5.1888	5.1236	5.2909	5.2474	5.3376	5.6819	6.1253	5.0584	5.4355	5.2794	9.1503	5.5079	5.4755	4.7935	4.6965	4.9777
U133A__LDHB	4.1912	9.5557	4.0631	7.7198	7.4019	11.1499	3.7442	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	6.3778	11.1987	10.7072	11.2496	8.8148	11.0885	3.5489	4.7582	3.8705	10.5632	11.012	11.6052	10.7455	9.8168	3.3627	10.4303	10.9508	11.7129	11.5033	3.5016	6.9071	10.3626	4.7713	8.3895	3.3083	3.6779
U133A__KIAA0040	7.4994	6.4763	6.2241	6.3177	8.4261	5.5327	7.1961	6.3227	5.7125	7.9873	6.0097	7.8512	6.4646	6.2896	6.8359	6.4563	6.0658	5.6974	6.5026	5.7298	5.6006	5.9483	7.6846	5.955	6.4962	5.278	6.0962	7.1032	6.9009	7.0973	5.2923	5.7746	5.1966	6.184	6.4999	8.7619	6.5898	6.2826	7.188	6.3955
